syllable,syllable_duration,word,word_begin,word_end,word_num_syllables,word_stress_pattern,utterance_speech_rate,speaker,speaker_sex,file
T.EY1.L,0.5,tail,9.6,10.1,1,1,3.8910505836575884,1089,M,1089-134686-0006
S.L.OW1,0.33999999999999986,slowly,6.51,7.13,2,1-0,4.236006051437217,1089,M,1089-134686-0006
F.L.AW1,0.33999999999999986,flower,5.61,6.13,2,1-0,5.511811023622049,1089,M,1089-134686-0031
F.IH1.R,0.54,fear,4.08,4.62,1,1,3.1400966183574877,1089,M,1089-134686-0031
W.ER1.D.Z,0.4300000000000006,words,4.1,4.53,1,1,4.705882352941176,1089,M,1089-134686-0021
L.EY1,0.19999999999999996,layman,0.55,0.97,2,1-0,5.882352941176471,1089,M,1089-134686-0021
B.AE1.P,0.28000000000000025,baptized,5.5,6.28,2,1-2,3.1847133757961776,1089,M,1089-134686-0021
K.AA1.N,0.25,consecrated,5.28,6.09,4,1-0-2-0,5.080213903743315,1089,M,1089-134686-0024
V.IH1,0.1399999999999999,vinegar,1.56,2.07,3,1-0-0,5.000000000000001,1089,M,1089-134686-0024
M.AE1.N,0.5299999999999994,man,10.67,11.2,1,1,3.5416666666666674,1089,M,1089-134686-0024
S.IH1,0.2999999999999998,city,6.95,7.5,2,1-0,3.993055555555556,1089,M,1089-134691-0025
W.EY1.V.Z,0.79,waves,4.06,4.85,1,1,3.4013605442176877,1089,M,1089-134691-0004
W.AY1.N,0.41000000000000014,wine,5.17,5.58,1,1,4.816955684007707,1089,M,1089-134686-0023
B.L.AH1.D,0.40000000000000036,blood,8.26,8.66,1,1,3.985507246376812,1089,M,1089-134686-0023
T.EH1.N,0.6,ten,0.65,1.25,1,1,2.830188679245283,1089,M,1089-134686-0004
Y.UW1,0.31999999999999984,you,3.1,3.42,1,1,4.040404040404041,1089,M,1089-134686-0004
HH.AH1.Z,0.27999999999999936,husband,4.48,5.11,2,1-0,4.0,1089,M,1089-134686-0004
S.AO1.S,0.5700000000000003,sauce,9.56,10.13,1,1,3.8410596026490063,1089,M,1089-134686-0000
D.IH1,0.11999999999999988,dinner,1.99,2.36,2,1-0,4.838709677419355,1089,M,1089-134686-0000
N.AY1.T,0.4500000000000002,knight,7.09,7.54,1,1,4.36241610738255,1089,M,1089-134686-0013
B.R.AA1,0.25,brothels,5.52,6.18,2,1-0,4.295532646048111,1089,M,1089-134686-0002
W.ER1.D.Z,0.6900000000000001,words,0.39,1.08,1,1,1.4492753623188404,1089,M,1089-134691-0015
K.AO1,0.27,calling,2.29,2.8,2,1-0,4.347826086956522,1089,M,1089-134691-0019
OW1.N,0.16999999999999993,only,10.38,10.75,2,1-0,4.761904761904763,1089,M,1089-134686-0020
F.AO1.R,0.20999999999999996,fortune,5.54,5.98,2,1-0,4.1516245487364625,1089,M,1089-134686-0020
B.AE1.K,0.3800000000000008,back,8.26,8.64,1,1,3.862660944206007,1089,M,1089-134686-0020
F.AO1.R,0.17999999999999972,fortune,16.04,16.54,2,1-0,3.389830508474577,1089,M,1089-134686-0020
IH0.T,0.19000000000000128,it,14.37,14.56,1,1,5.070422535211266,1089,M,1089-134686-0020
B.R.IH1.JH,0.40999999999999925,bridge,7.87,8.28,1,1,4.294478527607362,1089,M,1089-134691-0009
HH.IH1,0.129999999999999,hickey,19.18,19.57,2,1-0,6.1538461538461675,1089,M,1089-134691-0009
K.AA1,0.2400000000000002,collars,14.59,15.19,2,1-0,3.8461538461538454,1089,M,1089-134691-0009
HH.AE1.T.S,0.41999999999999993,hats,12.49,12.91,1,1,4.156479217603912,1089,M,1089-134691-0009
K.L.OW1.Z,0.6999999999999993,clothes,17.19,17.89,1,1,3.614457831325301,1089,M,1089-134691-0009
F.R.AY1,0.23000000000000004,friday,0.43,0.88,2,1-0,4.477611940298507,1089,M,1089-134686-0029
B.IY1.D.Z,0.4700000000000002,beads,3.94,4.41,1,1,4.17910447761194,1089,M,1089-134686-0029
L.AO1.NG,0.26,longer,1.28,1.77,2,1-0,4.838709677419355,1089,M,1089-134691-0000
K.W.EH1.S,0.3099999999999996,question,5.54,6.14,2,1-0,4.21455938697318,1089,M,1089-134686-0025
AA1.R.M.Z,0.6299999999999999,arms,4.58,5.21,1,1,3.773584905660378,1089,M,1089-134691-0005
B.IY1,0.3600000000000001,be,1.76,2.12,1,1,4.4692737430167595,1089,M,1089-134686-0014
R.AE1.NG,0.39999999999999947,rang,5.16,5.56,1,1,3.750000000000001,1089,M,1089-134686-0015
S.K.UW1.L,0.43999999999999995,schoolroom,1.73,2.45,2,1-2,5.10948905109489,1089,M,1089-134686-0015
D.AH1.S.K,0.49,dusk,0.36,0.85,1,1,4.054054054054054,1089,M,1089-134686-0015
TH.AO1.T.S,0.5300000000000002,thoughts,3.46,3.99,1,1,4.37956204379562,1089,M,1089-134686-0015
G.L.OW1,0.4300000000000006,glow,4.56,4.99,1,1,3.9548022598870056,1089,M,1089-134686-0037
S.AY1,0.27,silence,0.69,1.24,2,1-0,4.878048780487805,1089,M,1089-134686-0037
M.AW1.N,0.28000000000000025,mountains,2.44,3.21,2,1-0,3.5587188612099645,1089,M,1089-134686-0035
S.T.IH1.K,0.4700000000000002,stick,3.78,4.25,1,1,4.27807486631016,1089,M,1089-134686-0010
F.R.AH1.M,0.31999999999999984,from,3.44,3.76,1,1,5.555555555555556,1089,M,1089-134686-0026
W.ER1.D.Z,0.5200000000000005,words,4.71,5.23,1,1,3.9748953974895396,1089,M,1089-134691-0022
M.AA1.R.CH,0.46999999999999975,march,4.83,5.3,1,1,3.9800995024875627,1089,M,1089-134691-0016
S.K.AY1,0.52,sky,2.45,2.97,1,1,5.263157894736842,1089,M,1089-134691-0016
AY1.R,0.3200000000000003,ireland,6.75,7.29,2,1-0,4.678362573099415,1089,M,1089-134691-0016
B.AW1.N.D,0.5,bound,7.99,8.49,1,1,2.8846153846153846,1089,M,1089-134691-0016
W.IH1,0.21999999999999886,weariness,8.56,9.29,3,1-0-0,3.6496350364963526,1089,M,1089-134686-0005
W.ER1.D.Z,0.5699999999999998,words,2.64,3.21,1,1,4.25531914893617,1089,M,1089-134686-0005
S.EY1.F,0.4399999999999995,safe,10.73,11.17,1,1,4.054054054054053,1089,M,1089-134691-0002
B.EH1,0.20000000000000107,barrack,9.78,10.26,2,1-0,5.487804878048782,1089,M,1089-134691-0002
B.UH1.L,0.5200000000000002,bull,1.97,2.49,1,1,4.545454545454545,1089,M,1089-134691-0002
B.AE1.K,0.34999999999999964,back,6.08,6.43,1,1,4.383561643835616,1089,M,1089-134691-0002
S.AE1,0.2599999999999998,saturday,6.73,7.45,3,1-2-2,3.888888888888889,1089,M,1089-134686-0028
S.IY1,0.4400000000000004,sea,5.67,6.11,1,1,3.8596491228070167,1089,M,1089-134691-0008
T.UW1,0.43999999999999995,two,2.48,2.92,1,1,3.846153846153846,1089,M,1089-134691-0008
F.EY1.S,0.5099999999999998,face,14.06,14.57,1,1,4.0169133192389,1089,M,1089-134691-0008
R.EY1,0.2699999999999996,races,10.6,11.22,2,1-0,3.0534351145038165,1089,M,1089-134691-0017
S.IY1,0.5200000000000005,sea,3.63,4.15,1,1,4.407713498622589,1089,M,1089-134691-0017
S.T.OW1.N,0.56,stone,1.13,1.69,1,1,3.361344537815126,1089,M,1089-134691-0021
P.L.AH1.N,0.3099999999999996,plunges,4.7,5.33,2,1-0,4.129793510324483,1089,M,1089-134691-0021
L.AH1,0.15999999999999837,lustre,12.46,13.0,2,1-0,3.015075376884422,1089,M,1089-134691-0021
HH.AO1.R,0.1999999999999993,horseplay,10.06,10.66,2,1-2,4.444444444444445,1089,M,1089-134691-0021
K.AO1.R.D,0.5200000000000005,chord,3.88,4.4,1,1,3.6175710594315245,1089,M,1089-134691-0014
AA1.N,0.33000000000000007,on,5.08,5.41,1,1,3.2786885245901636,1089,M,1089-134686-0034
DH.EH1.N,0.3700000000000001,then,1.73,2.1,1,1,3.773584905660377,1089,M,1089-134686-0034
M.OW1.S.T,0.4700000000000001,most,0.62,1.09,1,1,2.816901408450704,1089,M,1089-134686-0009
G.R.EY1.S,0.5700000000000003,grace,9.51,10.08,1,1,3.738317757009346,1089,M,1089-134686-0009
F.R.AH1.M,0.35000000000000053,from,4.47,4.82,1,1,4.4642857142857135,1089,M,1089-134686-0009
L.AE1.N.D,0.5,land,10.31,10.81,1,1,4.199999999999999,1089,M,1089-134686-0022
HH.AA1.R.T,0.4400000000000004,heart,5.0,5.44,1,1,5.0724637681159415,1089,M,1089-134686-0022
IH0.T,0.16000000000000003,it,0.92,1.08,1,1,4.761904761904761,1089,M,1089-134686-0022
S.T.IY1,0.31000000000000005,stephen,0.5,1.08,2,1-0,3.4482758620689653,1089,M,1089-134686-0017
S.K.R.IH1,0.27,scribbler,3.56,4.13,2,1-0,4.477611940298508,1089,M,1089-134686-0017
S.EY1,0.2599999999999998,saying,8.31,8.74,2,1-0,4.470588235294118,1089,M,1089-134686-0017
S.OW1.L,0.48999999999999977,soul,3.43,3.92,1,1,3.225806451612903,1089,M,1089-134686-0007
S.EY1.N.T,0.5900000000000001,saint,0.71,1.3,1,1,2.7522935779816513,1089,M,1089-134686-0036
HH.ER0,0.2599999999999998,her,10.88,11.14,1,1,5.1383399209486145,1089,M,1089-134686-0012
F.L.EH1.SH,0.5500000000000007,flesh,7.77,8.32,1,1,3.389830508474576,1089,M,1089-134686-0012
P.IH1,0.1200000000000001,pity,2.84,3.23,2,1-0,3.985507246376812,1089,M,1089-134686-0012
HH.OW1,0.14000000000000012,holiness,3.86,4.51,3,1-0-0,4.938271604938274,1089,M,1089-134686-0012
S.EY1.N.T,0.47,saint,0.72,1.19,1,1,3.370786516853933,1089,M,1089-134686-0033
S.EH1.D,0.2999999999999998,said,2.18,2.48,1,1,4.054054054054054,1089,M,1089-134686-0027
G.EY1.T.S,0.4399999999999995,gates,6.45,6.89,1,1,4.797047970479705,1089,M,1089-134691-0012
P.R.AY1.D,0.5499999999999998,pride,7.88,8.43,1,1,3.0769230769230775,1089,M,1089-134691-0012
W.IY1.D.Z,0.4900000000000002,weeds,9.9,10.39,1,1,4.0697674418604635,1089,M,1089-134691-0012
DH.EH1.M,0.3200000000000003,them,3.61,3.93,1,1,4.775280898876405,1089,M,1089-134691-0012
F.R.EY1.Z,0.4499999999999993,phrase,9.32,9.77,1,1,3.474903474903475,1089,M,1089-134686-0019
JH.EY1.M.Z,0.45999999999999996,james,1.63,2.09,1,1,3.726708074534162,1089,M,1089-134686-0019
AO1.L,0.46999999999999975,all,6.46,6.93,1,1,4.175824175824176,1089,M,1089-134686-0019
S.T.EY1.T,0.5399999999999991,state,12.99,13.53,1,1,4.584527220630372,1089,M,1089-134686-0019
T.UW1,0.3600000000000001,too,1.43,1.79,1,1,3.125,1089,M,1089-134686-0018
CH.ER1.CH,0.4400000000000004,church,7.72,8.16,1,1,4.417670682730924,1089,M,1089-134686-0018
EH1.N.D,0.3799999999999999,end,5.11,5.49,1,1,4.705882352941176,1089,M,1089-134686-0018
W.EY1,0.18999999999999995,waiting,2.61,3.04,2,1-0,4.7272727272727275,1089,M,1089-134691-0001
L.AO1.NG,0.27000000000000046,longer,4.42,4.92,2,1-0,4.861111111111112,1089,M,1089-134691-0001
M.AY1.N.D,0.52,mind,1.98,2.5,1,1,4.784688995215311,1089,M,1089-134686-0003
S.ER1,0.2400000000000002,certitude,4.6,5.38,3,1-0-2,4.782608695652175,1089,M,1089-134691-0013
L.AH1.V,0.41000000000000014,love,15.42,15.83,1,1,4.075235109717869,1089,M,1089-134691-0013
AA1.R.G,0.25,argue,2.42,2.84,2,1-0,5.603448275862069,1089,M,1089-134691-0013
L.AH1.V,0.3800000000000008,love,11.84,12.22,1,1,4.622496147919876,1089,M,1089-134691-0013
IH1.N,0.19999999999999973,indies,3.24,3.79,2,1-0,4.938271604938271,1089,M,1089-134686-0032
N.OW1,0.3699999999999999,know,1.52,1.89,1,1,4.25531914893617,1089,M,1089-134686-0032
B.IY1,0.3999999999999999,be,1.5,1.9,1,1,4.347826086956522,1089,M,1089-134691-0011
K.L.OW1.DH.Z,0.6200000000000001,clothes,4.87,5.49,1,1,3.03030303030303,1089,M,1089-134691-0011
F.EY1,0.2400000000000002,faces,3.69,4.26,2,1-0,4.210526315789475,1089,M,1089-134691-0011
B.IH1.N,0.39000000000000057,been,14.54,14.93,1,1,4.43864229765013,1089,M,1089-134691-0011
N.EY1.M.Z,0.4900000000000002,names,2.63,3.12,1,1,3.296703296703296,1089,M,1089-134691-0011
B.IY1,0.3200000000000003,be,10.44,10.76,1,1,4.602510460251047,1089,M,1089-134691-0011
AO1,0.1999999999999993,office,4.61,5.1,2,1-0,5.446623093681917,1089,M,1089-134686-0011
S.AH1.B,0.2999999999999998,subjects,2.27,3.07,2,1-0,3.5294117647058827,1188,M,1188-133604-0036
B.Y.UW1,0.1900000000000004,beautiful,6.92,7.47,3,1-0-0,4.918032786885246,1188,M,1188-133604-0036
F.IH1.G,0.25,figures,4.3,4.96,2,1-0,4.680851063829787,1188,M,1188-133604-0019
HH.AE1.N.D,0.5199999999999996,hand,9.38,9.9,1,1,5.448717948717949,1188,M,1188-133604-0019
G.AA1,0.23000000000000043,gothic,11.65,12.18,2,1-0,6.145251396648048,1188,M,1188-133604-0019
S.K.UW1.L,0.4299999999999997,school,13.05,13.48,1,1,5.940594059405941,1188,M,1188-133604-0019
L.AY1.T,0.28999999999999915,light,17.16,17.45,1,1,5.882352941176473,1188,M,1188-133604-0002
L.AY1.T,0.41000000000000014,light,10.32,10.73,1,1,4.999999999999996,1188,M,1188-133604-0002
TH.IH1.NG,0.5200000000000014,thing,8.45,8.97,1,1,4.44015444015444,1188,M,1188-133604-0002
B.Y.UW1,0.22000000000000064,beauty,14.79,15.27,2,1-0,6.306306306306309,1188,M,1188-133604-0002
F.AH1.NG.K,0.28000000000000114,function,13.04,13.62,2,1-0,4.347826086956525,1188,M,1188-133604-0002
K.AY1.T,0.4199999999999995,kite,3.97,4.39,1,1,4.938271604938272,1188,M,1188-133604-0043
K.R.IH1,0.1999999999999993,crystal,6.48,7.07,2,1-0,5.2,1188,M,1188-133604-0034
F.ER1.S.T,0.5399999999999991,first,18.07,18.61,1,1,4.678362573099415,1188,M,1188-133604-0034
AO1.R,0.1999999999999993,order,19.93,20.44,2,1-0,5.6074766355140175,1188,M,1188-133604-0034
M.UW1.D,0.4400000000000013,mood,14.2,14.64,1,1,5.454545454545454,1188,M,1188-133604-0034
L.AY1.T,0.33000000000000007,light,3.57,3.9,1,1,5.029585798816568,1188,M,1188-133604-0034
DH.EH1.R,0.19000000000000006,therefore,0.93,1.52,2,1-2,3.9603960396039604,1188,M,1188-133604-0014
W.AH1.N,0.31000000000000005,one,3.59,3.9,1,1,5.7591623036649215,1188,M,1188-133604-0014
P.EY1,0.21000000000000085,paper,14.25,14.72,2,1-0,5.014749262536872,1188,M,1188-133604-0011
T.OW1.N.Z,0.6399999999999997,tones,5.7,6.34,1,1,4.067796610169492,1188,M,1188-133604-0011
T.W.AY1,0.3100000000000005,twilight,9.91,10.61,2,1-2,4.571428571428573,1188,M,1188-133604-0011
T.ER1.N,0.4900000000000002,turn,9.1,9.59,1,1,4.504504504504505,1188,M,1188-133604-0041
R.EH1.N.T,0.4300000000000006,rent,6.39,6.82,1,1,3.846153846153845,1188,M,1188-133604-0041
V.OY1.S,0.5599999999999996,voice,6.45,7.01,1,1,4.926108374384238,1188,M,1188-133604-0012
L.OW1,0.34999999999999964,low,9.13,9.48,1,1,3.191489361702123,1188,M,1188-133604-0012
B.AH1.T,0.3799999999999999,but,7.88,8.26,1,1,2.6315789473684217,1188,M,1188-133604-0012
K.AH1,0.21999999999999975,color,4.16,4.61,2,1-0,4.712041884816753,1188,M,1188-133604-0012
AO1.L,0.2999999999999998,all,2.72,3.02,1,1,4.0,1188,M,1188-133604-0023
ER1.TH,0.39000000000000057,earth,21.48,21.87,1,1,4.661016949152543,1188,M,1188-133604-0023
S.EH1.Z,0.52,says,1.26,1.78,1,1,3.937007874015748,1188,M,1188-133604-0023
K.W.EH1.S,0.29999999999999893,question,11.23,11.77,2,1-0,5.217391304347824,1188,M,1188-133604-0023
AO1.F,0.33999999999999986,off,13.36,13.7,1,1,4.854368932038838,1188,M,1188-133604-0023
S.EY1.M,0.40000000000000213,same,22.77,23.17,1,1,4.225352112676052,1188,M,1188-133604-0023
S.L.AY1,0.379999999999999,slimy,15.73,16.33,2,1-0,4.910714285714289,1188,M,1188-133604-0023
B.L.AE1.K,0.5500000000000007,black,8.62,9.17,1,1,4.663212435233161,1188,M,1188-133604-0023
D.AW1.N,0.490000000000002,down,18.38,18.87,1,1,4.0,1188,M,1188-133604-0023
R.UW1,0.29000000000000004,ruby,5.4,6.02,2,1-0,4.721030042918455,1188,M,1188-133604-0023
JH.OW1.N.Z,0.6500000000000004,jones,3.07,3.72,1,1,3.7974683544303796,1188,M,1188-133604-0032
S.AY1,0.25,psyche,5.38,6.02,2,1-0,5.970149253731344,1188,M,1188-133604-0032
AH0,0.17000000000000004,a,0.84,1.01,1,1,7.575757575757575,1188,M,1188-133604-0032
HH.EH1,0.15000000000000036,heaven,10.07,10.5,2,1-0,5.865102639296188,1188,M,1188-133604-0032
F.L.IH1.N.T,0.5,flint,3.27,3.77,1,1,3.75,1188,M,1188-133604-0031
L.IY1.S.T,0.3999999999999999,least,3.9,4.3,1,1,5.000000000000003,1188,M,1188-133604-0015
IH0.T,0.17999999999999972,it,11.47,11.65,1,1,5.737704918032788,1188,M,1188-133604-0015
K.L.IH1.R,0.3500000000000001,clearly,2.78,3.37,2,1-0,5.244755244755244,1188,M,1188-133604-0015
G.R.AW1.N.D,0.5099999999999998,ground,15.11,15.62,1,1,5.675675675675676,1188,M,1188-133604-0015
N.EH1,0.17999999999999972,negligent,4.25,4.87,3,1-0-0,5.882352941176469,1188,M,1188-133604-0037
IH0.T,0.2200000000000002,it,2.46,2.68,1,1,5.045871559633027,1188,M,1188-133604-0037
K.AA1.M,0.35999999999999943,calmness,7.41,8.08,2,1-0,5.0359712230215825,1188,M,1188-133604-0037
OW1.N,0.27,only,0.47,0.99,2,1-0,3.846153846153846,1188,M,1188-133604-0029
AO1.L,0.4399999999999995,all,4.69,5.13,1,1,5.2,1188,M,1188-133604-0038
W.IH1.CH,0.40000000000000013,which,1.74,2.14,1,1,5.521472392638036,1188,M,1188-133604-0038
B.OW1.TH,0.49,both,1.06,1.55,1,1,3.773584905660377,1188,M,1188-133604-0030
DH.EH1.M,0.2599999999999998,them,7.84,8.1,1,1,6.220095693779904,1188,M,1188-133604-0003
S.AY1.D,0.5599999999999987,side,11.56,12.12,1,1,4.054054054054054,1188,M,1188-133604-0003
M.IH1.S.T,0.5,mist,17.01,17.51,1,1,4.904632152588554,1188,M,1188-133604-0026
T.AW1,0.3800000000000008,towers,9.77,10.46,2,1-0,3.7037037037037015,1188,M,1188-133604-0026
W.IH1.L,0.2400000000000002,wilson,2.92,3.51,2,1-0,5.2631578947368425,1188,M,1188-133604-0026
M.IH1.S.T,0.4900000000000002,mist,5.39,5.88,1,1,4.093567251461988,1188,M,1188-133604-0026
T.R.IY1.Z,0.5499999999999989,trees,8.9,9.45,1,1,4.307692307692309,1188,M,1188-133604-0026
P.AY1,0.25,python,18.91,19.61,2,1-0,5.000000000000005,1188,M,1188-133604-0026
AH1,0.11000000000000032,other,2.28,2.67,2,1-0,5.092592592592593,1188,M,1188-133604-0013
F.AO1.R,0.29000000000000004,formal,6.83,7.37,2,1-0,4.347826086956522,1188,M,1188-133604-0027
D.IH1,0.14999999999999858,distance,10.14,10.78,2,1-0,5.434782608695652,1188,M,1188-133604-0027
T.UW1,0.3500000000000001,two,3.4,3.75,1,1,5.223880597014926,1188,M,1188-133604-0027
R.AA2,0.13000000000000012,raphael,0.96,1.66,3,1-0-0,5.217391304347826,1188,M,1188-133604-0027
L.IY1.F,0.4299999999999997,leaf,5.75,6.18,1,1,2.9126213592233015,1188,M,1188-133604-0027
IH0.T,0.15999999999999992,it,1.79,1.95,1,1,5.594405594405595,1188,M,1188-133604-0006
W.AO1,0.27,water,3.9,4.42,2,1-0,4.784688995215311,1188,M,1188-133604-0004
P.AA1.N.D.Z,0.7000000000000002,ponds,6.25,6.95,1,1,4.147465437788019,1188,M,1188-133604-0004
EH1.JH,0.5300000000000011,edge,9.62,10.15,1,1,4.593639575971731,1188,M,1188-133604-0004
P.R.IH1.N,0.23999999999999977,principles,3.82,4.45,3,1-0-0,5.882352941176468,1188,M,1188-133604-0010
T.ER1,0.25,turner,2.22,2.73,2,1-0,4.672897196261682,1188,M,1188-133604-0010
P.ER1,0.20999999999999996,perfectly,5.08,5.74,3,1-0-0,4.62962962962963,1188,M,1188-133604-0010
TH.IH1.NG.K,0.3799999999999999,think,2.1,2.48,1,1,5.641025641025641,1188,M,1188-133604-0024
AA1.R.T,0.34999999999999964,art,3.91,4.26,1,1,6.0402684563758395,1188,M,1188-133604-0024
AW1.R,0.4400000000000013,hour,8.37,8.81,1,1,4.924242424242423,1188,M,1188-133604-0024
G.R.EY1.T,0.41999999999999993,great,12.5,12.92,1,1,3.8461538461538494,1188,M,1188-133604-0024
M.AE1,0.22000000000000064,matter,14.27,14.76,2,1-0,4.8611111111111125,1188,M,1188-133604-0024
M.EY1,0.46999999999999975,may,6.03,6.5,1,1,3.3333333333333335,1188,M,1188-133604-0022
F.EY1.S,0.75,face,1.44,2.19,1,1,4.761904761904762,1188,M,1188-133604-0022
F.EY1.TH,0.41999999999999993,faith,4.54,4.96,1,1,6.531531531531532,1188,M,1188-133604-0021
P.EY1.N,0.2600000000000007,painting,6.85,7.43,2,1-0,5.2631578947368425,1188,M,1188-133604-0021
L.AY1.F,0.6399999999999988,life,12.89,13.53,1,1,4.906542056074767,1188,M,1188-133604-0021
D.R.IY1.M,0.56,dream,1.87,2.43,1,1,3.305785123966942,1188,M,1188-133604-0035
DH.AH1.S,0.5,thus,0.51,1.01,1,1,2.0,1188,M,1188-133604-0035
HH.Y.UW1.Z,0.6200000000000001,hues,5.59,6.21,1,1,5.000000000000001,1188,M,1188-133604-0009
P.EY1,0.1999999999999993,paper,9.72,10.23,2,1-0,5.319148936170206,1188,M,1188-133604-0009
JH.UW1.L.Z,0.6400000000000006,jewels,19.77,20.41,1,1,4.651162790697673,1188,M,1188-133604-0009
P.ER1,0.29999999999999893,pearly,8.32,8.87,2,1-0,4.803493449781661,1188,M,1188-133604-0009
JH.AH1.S.T,0.360000000000003,justly,21.99,22.54,2,1-0,3.636363636363632,1188,M,1188-133604-0009
IH0.T,0.16999999999999993,it,15.15,15.32,1,1,5.418719211822659,1188,M,1188-133604-0009
P.R.AA1,0.22999999999999998,properly,3.5,4.09,3,1-0-0,5.58659217877095,1188,M,1188-133604-0009
HH.AE1.V,0.17000000000000004,have,0.89,1.06,1,1,7.2727272727272725,1188,M,1188-133604-0025
F.AY1.R,0.5099999999999998,fire,6.46,6.97,1,1,3.314917127071824,1188,M,1188-133604-0025
M.IY1,0.29000000000000004,me,1.27,1.56,1,1,3.4482758620689653,1188,M,1188-133604-0008
L.AY1.T,0.4299999999999997,light,15.09,15.52,1,1,5.161290322580645,1188,M,1188-133604-0008
R.EH1.D,0.4500000000000002,red,6.89,7.34,1,1,6.049149338374291,1188,M,1188-133604-0008
G.R.IY1.N,0.5199999999999996,green,9.41,9.93,1,1,4.733727810650889,1188,M,1188-133604-0008
T.AH1.CH,0.5399999999999991,touch,19.71,20.25,1,1,4.0,1188,M,1188-133604-0008
Y.UW1,0.29000000000000004,you,1.28,1.57,1,1,5.607476635514018,1188,M,1188-133604-0044
L.AY1.V.Z,0.7300000000000004,lives,11.73,12.46,1,1,2.7522935779816473,1188,M,1188-133604-0044
SH.IY1.P,0.4499999999999993,sheep,10.23,10.68,1,1,3.8834951456310702,1188,M,1188-133604-0044
SH.EH1,0.1899999999999995,shepherd,8.42,8.92,2,1-0,5.3156146179401995,1188,M,1188-133604-0044
F.AE1.L,0.2999999999999998,falcons,4.42,5.2,2,1-0,4.38871473354232,1188,M,1188-133604-0044
V.AE1,0.20000000000000107,vanity,14.62,15.25,3,1-0-0,4.605263157894738,1188,M,1188-133604-0044
IY1,0.14999999999999858,eagle,17.66,18.11,2,1-0,5.1136363636363695,1188,M,1188-133604-0044
JH.AO1.R.JH,0.5700000000000003,george,7.49,8.06,1,1,4.824561403508771,1188,M,1188-133604-0005
P.EH1,0.22999999999999998,parrot,1.2,1.66,2,1-0,6.9565217391304355,1188,M,1188-133604-0005
IH1.Z,0.5599999999999987,is,14.39,14.95,1,1,3.3816425120772973,1188,M,1188-133604-0028
IH1.N,0.13000000000000078,intellect,11.87,12.47,3,1-0-2,5.4054054054054035,1188,M,1188-133604-0028
K.L.AE1.S,0.7199999999999998,class,4.67,5.39,1,1,3.6458333333333344,1188,M,1188-133604-0028
IH0.T,0.1999999999999993,it,16.87,17.07,1,1,6.521739130434779,1188,M,1188-133604-0028
D.EH1,0.14999999999999947,decorative,4.44,5.1,3,1-0-0,5.42299349240781,1188,M,1188-133604-0016
W.EY1,0.35999999999999943,way,8.24,8.6,1,1,5.0,1188,M,1188-133604-0016
F.AE1.K.T,0.46000000000000085,fact,12.77,13.23,1,1,3.1249999999999973,1188,M,1188-133604-0016
TH.IH1.NG.Z,0.5899999999999999,things,6.75,7.34,1,1,5.2631578947368425,1188,M,1188-133604-0016
P.IH1.K,0.21999999999999886,pictures,15.48,16.08,2,1-0,5.306122448979597,1188,M,1188-133604-0016
P.UW1.R,0.4400000000000004,poor,5.71,6.15,1,1,4.0,1188,M,1188-133604-0039
T.ER1,0.2600000000000007,turner,5.77,6.33,2,1-0,3.2786885245901645,1188,M,1188-133604-0000
T.IH1,0.16999999999999993,titian,3.91,4.43,2,1-0,3.8461538461538494,1188,M,1188-133604-0000
T.ER1.M.Z,0.7300000000000004,terms,9.48,10.21,1,1,3.7974683544303796,1188,M,1188-133604-0000
M.EH1.N,0.3899999999999997,men,2.64,3.03,1,1,5.2,1188,M,1188-133604-0000
K.W.AA1,0.29000000000000004,quality,1.31,1.94,3,1-0-0,5.594405594405595,1188,M,1188-133604-0001
P.ER1,0.26000000000000023,perfectly,3.3,4.0,3,1-0-0,3.9215686274509802,1188,M,1188-133604-0033
F.AO1.R,0.25,formally,2.05,2.65,3,1-0-0,4.824561403508772,1188,M,1188-133604-0033
AA1.R.T,0.29999999999999893,art,10.74,11.04,1,1,5.172413793103449,1188,M,1188-133604-0018
K.AY1.N.D,0.43000000000000016,kind,3.51,3.94,1,1,4.956268221574344,1188,M,1188-133604-0018
P.AA1.R.T,0.30000000000000027,part,2.76,3.06,1,1,4.280155642023346,1188,M,1188-133604-0007
K.ER1.V,0.47000000000000064,curve,8.61,9.08,1,1,4.810996563573883,1188,M,1188-133604-0007
HH.AA1,0.20999999999999996,hollow,5.39,5.84,2,1-0,4.784688995215311,1188,M,1188-133604-0007
W.AY1.T,0.3500000000000014,white,11.2,11.55,1,1,5.2356020942408374,1188,M,1188-133604-0007
M.AE1.N,0.2699999999999996,mandible,13.14,13.75,3,1-0-0,5.747126436781609,1188,M,1188-133604-0007
B.AH1.T,0.38,but,0.51,0.89,1,1,2.6315789473684212,1188,M,1188-133604-0020
