utterance,loglikelihood
words-BABEL-BP-101-76733-20111128-131042-C6-scripted,-35.22233333333333
words-BABEL-BP-101-96283-20111115-151454-S2-scripted,-35.81687142857143
words-BABEL-BP-101-74404-20111020-182723-S0-scripted,-42.52271428571429
words-BABEL-BP-101-89818-20111019-175302-C5-scripted,-35.98491176470588
words-BABEL-BP-101-21929-20111025-180344-S5-scripted,-35.035088
words-BABEL-BP-101-16266-20111027-144051-C6-scripted,-36.929337209302325
words-BABEL-BP-101-25035-20111028-131901-S5-scripted,-42.96128888888889
words-BABEL-BP-101-49541-20111104-190754-S2-scripted,-42.09173333333334
words-BABEL-BP-101-40439-20111203-180801-S8-scripted,-38.39072881355932
words-BABEL-BP-101-37110-20111019-201514-C3-scripted,-35.86935294117647
words-BABEL-BP-101-28740-20111028-212855-S8-scripted,-48.995309523809524
words-BABEL-BP-101-51052-20111121-172943-D1-scripted,-32.58417213114754
words-BABEL-BP-101-64889-20111124-214431-D1-scripted,-38.04004411764706
words-BABEL-BP-101-44836-20111119-151943-O1-scripted,-47.59375
words-BABEL-BP-101-76919-20111120-200051-S4-scripted,-38.03021505376344
words-BABEL-BP-101-51052-20111121-173546-S3-scripted,-34.72125892857143
words-BABEL-BP-101-79412-20111026-004215-O7-scripted,-34.113150000000005
words-BABEL-BP-101-77244-20111127-004225-I2-scripted,-23.149124999999998
words-BABEL-BP-101-15460-20111120-190712-D2-scripted,-40.03788095238095
words-BABEL-BP-101-24420-20111122-213342-C4-scripted,-30.546444444444447
words-BABEL-BP-101-11479-20111021-201417-L1-scripted,-42.87407339449542
words-BABEL-BP-101-60826-20111120-163111-N1-scripted,-38.77632142857143
words-BABEL-BP-101-20685-20111019-122011-I2-scripted,-29.025215789473684
words-BABEL-BP-101-36383-20111129-173237-S1-scripted,-35.38319841269841
words-BABEL-BP-101-39080-20111124-175842-SA-scripted,-47.73529365079365
words-BABEL-BP-101-72718-20111129-162724-C3-scripted,-44.56161111111111
words-BABEL-BP-101-29097-20111018-132116-O2-scripted,-29.843830303030302
words-BABEL-BP-101-36424-20111119-142548-I2-scripted,-31.010634615384618
words-BABEL-BP-101-17572-20111116-153800-S0-scripted,-40.452393939393936
words-BABEL-BP-101-23571-20111128-230001-S1-scripted,-40.30288888888889
words-BABEL-BP-101-68295-20111124-173737-C4-scripted,-31.058109375
words-BABEL-BP-101-93091-20111022-180703-S2-scripted,-37.071746987951805
words-BABEL-BP-101-48053-20111020-124545-S9-scripted,-54.42603225806452
words-BABEL-BP-101-31393-20111018-152131-S2-scripted,-46.19774468085106
words-BABEL-BP-101-29097-20111018-132707-S6-scripted,-40.85375714285714
words-BABEL-BP-101-50409-20111204-155134-D3-scripted,-30.766877192982456
words-BABEL-BP-101-58137-20111121-193410-C4-scripted,-29.9339
words-BABEL-BP-101-76341-20111027-123623-O3-scripted,-28.894093023255813
words-BABEL-BP-101-12897-20111115-163213-SB-scripted,-37.95332098765432
words-BABEL-BP-101-93643-20111021-152224-S1-scripted,-39.74291588785047
words-BABEL-BP-101-14054-20111119-160840-S4-scripted,-41.2915306122449
words-BABEL-BP-101-83791-20111017-203425-O7-scripted,-29.165472222222224
words-BABEL-BP-101-77348-20111018-165420-D2-scripted,-45.64137288135593
words-BABEL-BP-101-88464-20111119-191819-O3-scripted,-28.69446551724138
words-BABEL-BP-101-59032-20111130-123427-SA-scripted,-34.80930232558139
words-BABEL-BP-101-54315-20111018-144840-S9-scripted,-42.45122826086956
words-BABEL-BP-101-88243-20111024-184743-O4-scripted,-28.717432432432435
words-BABEL-BP-101-21584-20111030-204431-S3-scripted,-44.89555789473685
words-BABEL-BP-101-83362-20111018-184342-S8-scripted,-41.427048387096775
words-BABEL-BP-101-95589-20111118-210420-T2-scripted,-32.06764516129032
words-BABEL-BP-101-51374-20111020-142252-N1-scripted,-46.94634523809524
words-BABEL-BP-101-27178-20111025-171604-S7-scripted,-46.26183908045977
words-BABEL-BP-101-92628-20111102-124932-S7-scripted,-34.207476190476186
words-BABEL-BP-101-31393-20111018-151617-O1-scripted,-26.405156666666667
words-BABEL-BP-101-50589-20111025-184555-T3-scripted,-36.48712987012987
words-BABEL-BP-101-61822-20111022-194415-C5-scripted,-35.16382954545455
words-BABEL-BP-101-53824-20111115-171618-O5-scripted,-30.414686567164182
words-BABEL-BP-101-37110-20111019-201156-C4-scripted,-35.729838709677416
words-BABEL-BP-101-44403-20111023-145308-T3-scripted,-37.03328378378379
words-BABEL-BP-101-13229-20111127-134307-S7-scripted,-37.91603529411765
words-BABEL-BP-101-58190-20111124-201246-O6-scripted,-38.670500000000004
words-BABEL-BP-101-12003-20111116-125913-C5-scripted,-31.27561111111111
words-BABEL-BP-101-40123-20111129-175531-S7-scripted,-41.060785714285714
words-BABEL-BP-101-84335-20111116-201818-C5-scripted,-35.07035714285714
words-BABEL-BP-101-59032-20111130-123148-O3-scripted,-24.613777777777777
words-BABEL-BP-101-26350-20111019-200231-M1-scripted,-48.18380952380952
words-BABEL-BP-101-65606-20111116-134314-O5-scripted,-27.923066666666667
words-BABEL-BP-101-16617-20111030-141001-T1-scripted,-36.40395238095238
words-BABEL-BP-101-68295-20111124-174353-S3-scripted,-39.85572448979592
words-BABEL-BP-101-28260-20111021-175950-S7-scripted,-46.84893
words-BABEL-BP-101-13272-20111027-191152-L3-scripted,-36.74685365853659
words-BABEL-BP-101-33671-20111019-123838-C6-scripted,-57.63601587301587
words-BABEL-BP-101-27619-20111102-195122-C2-scripted,-34.94689719626169
words-BABEL-BP-101-61119-20111125-203723-S1-scripted,-36.26033695652174
words-BABEL-BP-101-60110-20111102-210148-S4-scripted,-45.22432352941176
words-BABEL-BP-101-64205-20111203-123948-O3-scripted,-29.831
words-BABEL-BP-101-82217-20111115-185746-L2-scripted,-34.856640625
words-BABEL-BP-101-68129-20111120-131459-S1-scripted,-35.05277777777778
words-BABEL-BP-101-91873-20111129-205734-O5-scripted,-30.19635593220339
words-BABEL-BP-101-12003-20111116-130140-O4-scripted,-28.303695652173914
words-BABEL-BP-101-16266-20111027-144530-O4-scripted,-24.49438888888889
words-BABEL-BP-101-93454-20111027-011731-SC-scripted,-52.85984920634921
words-BABEL-BP-101-47794-20111204-014722-O5-scripted,-35.11356
words-BABEL-BP-101-30168-20111118-125631-C2-scripted,-36.574633027522935
words-BABEL-BP-101-10033-20111024-203434-C6-scripted,-32.49
words-BABEL-BP-101-97405-20111019-145016-S6-scripted,-42.13935227272727
words-BABEL-BP-101-33671-20111019-124106-M1-scripted,-53.79547619047619
words-BABEL-BP-101-87481-20111129-125316-SB-scripted,-41.62762
words-BABEL-BP-101-43383-20111019-133758-O4-scripted,-31.23486
words-BABEL-BP-101-62177-20111019-140933-I2-scripted,-39.21134782608696
words-BABEL-BP-101-80953-20111122-193844-O1-scripted,-32.00150684931507
words-BABEL-BP-101-12897-20111115-163242-O5-scripted,-31.347571428571428
words-BABEL-BP-101-45642-20111027-165545-S8-scripted,-36.768087912087914
words-BABEL-BP-101-74404-20111020-182332-L1-scripted,-49.85110891089109
words-BABEL-BP-101-80953-20111122-194427-SA-scripted,-42.29236507936508
words-BABEL-BP-101-50842-20111030-164119-S7-scripted,-33.08680487804878
words-BABEL-BP-101-35016-20111203-201522-A1-scripted,-22.50481132075472
words-BABEL-BP-101-23571-20111128-225757-C1-scripted,-27.209253968253968
words-BABEL-BP-101-89619-20111029-201942-S2-scripted,-36.55211594202898
words-BABEL-BP-101-78094-20111026-125355-S1-scripted,-44.41646464646464
words-BABEL-BP-101-15460-20111120-190849-S6-scripted,-42.69338888888889
words-BABEL-BP-101-59032-20111130-123416-L3-scripted,-31.168882978723403
words-BABEL-BP-101-28132-20111023-123921-M1-scripted,-48.40048192771084
words-BABEL-BP-101-32452-20111022-133353-D2-scripted,-41.86830952380952
words-BABEL-BP-101-48733-20111117-134632-C4-scripted,-31.90882142857143
words-BABEL-BP-101-58863-20111029-201408-O2-scripted,-28.5655306122449
words-BABEL-BP-101-11479-20111021-201821-S2-scripted,-47.31795614035088
words-BABEL-BP-101-37094-20111019-180313-C6-scripted,-42.72021951219512
words-BABEL-BP-101-84042-20111129-183244-O6-scripted,-27.324933333333334
words-BABEL-BP-101-49541-20111104-190456-C4-scripted,-35.965125
words-BABEL-BP-101-98099-20111120-124407-S6-scripted,-34.47206666666666
words-BABEL-BP-101-17080-20111020-182030-S2-scripted,-46.7146
words-BABEL-BP-101-56117-20111120-221934-D1-scripted,-38.194707692307695
words-BABEL-BP-101-87481-20111129-125448-L3-scripted,-34.98690476190476
words-BABEL-BP-101-48559-20111118-123953-S8-scripted,-42.35085714285714
words-BABEL-BP-101-90490-20111017-182631-S1-scripted,-43.72365
words-BABEL-BP-101-26017-20111030-195828-O2-scripted,-25.623285714285714
words-BABEL-BP-101-53985-20111027-131557-C4-scripted,-29.029827586206896
words-BABEL-BP-101-77802-20111125-184844-D2-scripted,-38.320506329113925
words-BABEL-BP-101-55944-20111124-174439-S0-scripted,-40.09984158415841
words-BABEL-BP-101-77348-20111018-164933-D1-scripted,-42.95062790697674
words-BABEL-BP-101-48188-20111117-203403-I2-scripted,-22.147934782608694
words-BABEL-BP-101-90730-20111024-185532-S2-scripted,-44.236825396825395
words-BABEL-BP-101-21929-20111025-180259-SB-scripted,-44.320104
words-BABEL-BP-101-68767-20111029-171311-SC-scripted,-37.02054166666667
words-BABEL-BP-101-14054-20111119-161120-T3-scripted,-33.98754430379747
words-BABEL-BP-101-50101-20111019-174039-SB-scripted,-42.50960273972603
words-BABEL-BP-101-83791-20111017-202959-C2-scripted,-40.363831683168314
words-BABEL-BP-101-83362-20111018-184001-S1-scripted,-44.492399999999996
words-BABEL-BP-101-88929-20111118-195710-C2-scripted,-36.97794444444444
words-BABEL-BP-101-38108-20111125-150641-O7-scripted,-28.02405084745763
words-BABEL-BP-101-25236-20111129-192059-SC-scripted,-31.907831683168315
words-BABEL-BP-101-29444-20111024-200148-C1-scripted,-31.737196969696974
words-BABEL-BP-101-84088-20111020-182551-L3-scripted,-39.06725
words-BABEL-BP-101-57457-20111104-002537-S1-scripted,-50.17924603174603
words-BABEL-BP-101-12003-20111116-125515-O1-scripted,-37.06245238095238
words-BABEL-BP-101-25236-20111129-191803-I2-scripted,-21.48085106382979
words-BABEL-BP-101-61446-20111019-150006-O5-scripted,-36.5640350877193
words-BABEL-BP-101-81486-20111027-153519-O2-scripted,-34.7725625
words-BABEL-BP-101-75020-20111020-151217-M1-scripted,-43.956892857142854
words-BABEL-BP-101-92735-20111024-165104-S7-scripted,-46.03610169491525
words-BABEL-BP-101-63459-20111120-162230-SC-scripted,-38.99685365853659
words-BABEL-BP-101-91668-20111127-130535-C6-scripted,-37.22644827586207
words-BABEL-BP-101-98279-20111122-191141-S6-scripted,-39.86806382978723
words-BABEL-BP-101-12897-20111115-163357-O4-scripted,-24.967020833333333
words-BABEL-BP-101-27178-20111025-171722-L2-scripted,-36.687421875
words-BABEL-BP-101-91007-20111203-153811-C6-scripted,-32.24487640449438
words-BABEL-BP-101-44209-20111120-124951-S6-scripted,-40.22791452991453
words-BABEL-BP-101-65606-20111116-134228-L2-scripted,-29.392973333333334
words-BABEL-BP-101-93091-20111022-180501-S1-scripted,-37.19063265306122
words-BABEL-BP-101-42788-20111120-194248-S1-scripted,-41.357618421052635
words-BABEL-BP-101-93454-20111027-011652-L3-scripted,-50.330357142857146
words-BABEL-BP-101-68129-20111120-131450-O6-scripted,-25.537134615384616
words-BABEL-BP-101-98219-20111125-153636-C1-scripted,-27.406036363636364
words-BABEL-BP-101-96216-20111021-125342-M1-scripted,-32.671479999999995
words-BABEL-BP-101-29302-20111023-165357-S6-scripted,-38.324445652173914
words-BABEL-BP-101-75020-20111020-151114-L1-scripted,-49.066530303030305
words-BABEL-BP-101-41513-20111121-140047-S6-scripted,-35.687333333333335
words-BABEL-BP-101-15460-20111120-190535-S5-scripted,-97.15960317460318
words-BABEL-BP-101-93643-20111021-152451-S0-scripted,-34.527464646464644
words-BABEL-BP-101-20518-20111119-172702-O5-scripted,-38.38130645161291
words-BABEL-BP-101-66903-20111021-124014-L3-scripted,-38.04001030927835
words-BABEL-BP-101-90890-20111018-141009-D2-scripted,-36.426297619047624
words-BABEL-BP-101-58923-20111021-131253-N1-scripted,-33.23772368421053
words-BABEL-BP-101-88464-20111119-192018-D3-scripted,-30.82581632653061
words-BABEL-BP-101-95034-20111126-192036-S5-scripted,-35.30672222222222
words-BABEL-BP-101-36424-20111119-142519-L1-scripted,-34.37468085106383
words-BABEL-BP-101-39317-20111020-155800-L1-scripted,-50.58203821656051
words-BABEL-BP-101-75815-20111029-170428-D1-scripted,-34.63839705882353
words-BABEL-BP-101-46243-20111020-201500-S0-scripted,-43.39472727272727
words-BABEL-BP-101-90577-20111014-142446-M1-scripted,-49.78732142857143
words-BABEL-BP-101-75243-20111204-175639-C2-scripted,-39.44504237288136
words-BABEL-BP-101-17933-20111120-202344-O1-scripted,-25.69342
words-BABEL-BP-101-25576-20111021-203131-I2-scripted,-23.591965853658536
words-BABEL-BP-101-91409-20111023-173209-S7-scripted,-42.19005607476636
words-BABEL-BP-101-43383-20111019-133334-C6-scripted,-42.06515384615385
words-BABEL-BP-101-20685-20111019-122437-S6-scripted,-49.29624324324325
words-BABEL-BP-101-37110-20111019-201601-N1-scripted,-38.47270491803279
words-BABEL-BP-101-31393-20111018-152008-D3-scripted,-32.839176470588235
words-BABEL-BP-101-11422-20111019-143134-SB-scripted,-53.11025274725275
words-BABEL-BP-101-89573-20111025-194550-D3-scripted,-36.75611392405064
words-BABEL-BP-101-65743-20111019-155054-C4-scripted,-33.65335294117647
words-BABEL-BP-101-42266-20111031-230142-C3-scripted,-55.453357142857136
words-BABEL-BP-101-16660-20111020-202919-SB-scripted,-45.907253012048194
words-BABEL-BP-101-10925-20111025-145757-C6-scripted,-36.23978787878788
words-BABEL-BP-101-53464-20111020-124904-T3-scripted,-36.69307142857143
words-BABEL-BP-101-29959-20111116-194852-L1-scripted,-37.5049156626506
words-BABEL-BP-101-70680-20111018-144753-S8-scripted,-44.58038095238095
words-BABEL-BP-101-28161-20111024-172626-S7-scripted,-39.220288135593215
words-BABEL-BP-101-23167-20111026-192458-L3-scripted,-36.99832941176471
words-BABEL-BP-101-45511-20111025-195823-SB-scripted,-48.326576
words-BABEL-BP-101-20740-20111125-194133-T3-scripted,-33.3335606060606
words-BABEL-BP-101-29097-20111018-132716-T3-scripted,-32.667434782608694
words-BABEL-BP-101-17018-20111020-155646-S1-scripted,-48.593779999999995
words-BABEL-BP-101-27619-20111102-195659-S8-scripted,-41.967238095238095
words-BABEL-BP-101-84943-20111020-140423-S7-scripted,-43.66567816091954
words-BABEL-BP-101-13272-20111027-190740-C6-scripted,-33.209942857142856
words-BABEL-BP-101-25236-20111129-191947-C5-scripted,-33.74436363636364
words-BABEL-BP-101-76733-20111128-131714-N1-scripted,-33.97665476190476
words-BABEL-BP-101-74317-20111115-152041-O1-scripted,-23.694370370370372
words-BABEL-BP-101-91873-20111129-210104-S6-scripted,-38.740115789473684
words-BABEL-BP-101-83791-20111017-202839-T1-scripted,-36.58279452054794
words-BABEL-BP-101-96438-20111125-193534-S3-scripted,-34.57115454545455
words-BABEL-BP-101-15142-20111029-162116-S3-scripted,-45.63140963855422
words-BABEL-BP-101-32890-20111130-214432-D1-scripted,-28.102295081967213
words-BABEL-BP-101-45738-20111129-140553-C5-scripted,-35.11623880597015
words-BABEL-BP-101-45702-20111130-124517-O1-scripted,-22.260122448979594
words-BABEL-BP-101-86419-20111019-205310-L1-scripted,-51.28895652173913
words-BABEL-BP-101-95650-20111019-142411-C3-scripted,-41.19601265822785
words-BABEL-BP-101-35576-20111118-124145-T2-scripted,-37.55316666666667
words-BABEL-BP-101-89573-20111025-194501-O6-scripted,-31.276842105263157
words-BABEL-BP-101-27178-20111025-171957-SC-scripted,-46.71437234042553
words-BABEL-BP-101-33023-20111024-130348-O4-scripted,-25.7515306122449
words-BABEL-BP-101-77244-20111127-004902-I1-scripted,-20.614433333333334
words-BABEL-BP-101-71778-20111121-144913-O2-scripted,-31.116349206349206
words-BABEL-BP-101-98099-20111120-124022-SB-scripted,-39.645405405405405
words-BABEL-BP-101-96283-20111115-150805-S7-scripted,-38.015307692307694
words-BABEL-BP-101-91406-20111114-215358-S9-scripted,-40.5827520661157
words-BABEL-BP-101-20740-20111125-193548-C4-scripted,-29.994754098360655
words-BABEL-BP-101-28132-20111023-123858-S9-scripted,-48.389500000000005
words-BABEL-BP-101-46243-20111020-201611-S8-scripted,-45.08413333333333
words-BABEL-BP-101-41513-20111121-140002-A1-scripted,-25.225391666666667
words-BABEL-BP-101-48053-20111020-124532-C4-scripted,-44.606027777777776
words-BABEL-BP-101-83362-20111018-184050-S4-scripted,-42.41740789473684
words-BABEL-BP-101-82217-20111115-190326-A1-scripted,-28.341348837209306
words-BABEL-BP-101-29959-20111116-195305-O7-scripted,-26.648653846153845
words-BABEL-BP-101-38698-20111025-182234-S8-scripted,-36.31049206349206
words-BABEL-BP-101-90313-20111019-152903-C6-scripted,-40.34373684210526
words-BABEL-BP-101-73761-20111115-124001-S0-scripted,-43.16560504201681
words-BABEL-BP-101-89674-20111025-183758-D2-scripted,-40.3823
words-BABEL-BP-101-42766-20111124-143523-T2-scripted,-32.26540579710145
words-BABEL-BP-101-38698-20111025-181931-D3-scripted,-23.650596153846152
words-BABEL-BP-101-74884-20111030-141232-S0-scripted,-44.17589682539682
words-BABEL-BP-101-44403-20111023-144841-L2-scripted,-37.9793448275862
words-BABEL-BP-101-56070-20111030-183721-S1-scripted,-39.59298734177215
words-BABEL-BP-101-30168-20111118-125425-D1-scripted,-33.1471
words-BABEL-BP-101-48410-20111021-220823-C3-scripted,-40.098941747572816
words-BABEL-BP-101-79495-20111017-194647-D3-scripted,-31.058914285714284
words-BABEL-BP-101-39915-20111101-160619-T2-scripted,-33.12938157894737
words-BABEL-BP-101-61073-20111102-183454-S0-scripted,-38.88429
words-BABEL-BP-101-39997-20111124-145852-T1-scripted,-30.952536231884057
words-BABEL-BP-101-52366-20111018-133123-I2-scripted,-26.57104814814815
words-BABEL-BP-101-10066-20111120-162531-S5-scripted,-40.73209090909091
words-BABEL-BP-101-78094-20111026-125734-S8-scripted,-47.17705128205128
words-BABEL-BP-101-68295-20111124-174239-SC-scripted,-46.38184920634921
words-BABEL-BP-101-56648-20111126-180925-I2-scripted,-40.71561224489796
words-BABEL-BP-101-61762-20111028-174839-C5-scripted,-34.30224358974359
words-BABEL-BP-101-21584-20111030-204506-I1-scripted,-22.594022222222222
words-BABEL-BP-101-51374-20111020-141836-S9-scripted,-46.249785714285714
words-BABEL-BP-101-98476-20111114-210412-S7-scripted,-54.979261904761906
words-BABEL-BP-101-87481-20111129-124953-O1-scripted,-26.913745098039218
words-BABEL-BP-101-31980-20111025-124647-SC-scripted,-41.957057142857145
words-BABEL-BP-101-98099-20111120-124436-S8-scripted,-38.96798113207547
words-BABEL-BP-101-32274-20111024-154936-M1-scripted,-48.93857142857143
words-BABEL-BP-101-52642-20111129-212614-M1-scripted,-41.918238095238095
words-BABEL-BP-101-90490-20111017-182721-S4-scripted,-48.0913606557377
words-BABEL-BP-101-90506-20111026-175754-C6-scripted,-34.15550684931507
words-BABEL-BP-101-13272-20111027-191410-T3-scripted,-34.403942028985504
words-BABEL-BP-101-36711-20111104-140429-T2-scripted,-38.45773529411765
words-BABEL-BP-101-45931-20111021-152204-O6-scripted,-27.090062500000002
words-BABEL-BP-101-45738-20111129-140701-D2-scripted,-40.67711904761905
words-BABEL-BP-101-70615-20111019-190413-O4-scripted,-36.45198846153846
words-BABEL-BP-101-46243-20111020-201343-T2-scripted,-49.3661914893617
words-BABEL-BP-101-25021-20111018-194642-N1-scripted,-43.61966666666667
words-BABEL-BP-101-48410-20111021-220657-S4-scripted,-37.489468253968255
words-BABEL-BP-101-82484-20111103-151942-C5-scripted,-42.61796052631579
words-BABEL-BP-101-52366-20111018-133154-L2-scripted,-40.04646774193548
words-BABEL-BP-101-69295-20111130-001535-A1-scripted,-23.140186440677965
words-BABEL-BP-101-80008-20111031-165203-T1-scripted,-45.989082191780824
words-BABEL-BP-101-59868-20111020-204115-S5-scripted,-47.42771739130435
words-BABEL-BP-101-45472-20111020-165006-D3-scripted,-31.5878125
words-BABEL-BP-101-24608-20111019-185021-D2-scripted,-34.47963095238096
words-BABEL-BP-101-34194-20111024-171540-N1-scripted,-32.37822972972973
words-BABEL-BP-101-52642-20111129-212714-O5-scripted,-33.75725333333333
words-BABEL-BP-101-18950-20111127-141046-O3-scripted,-29.0
words-BABEL-BP-101-91979-20111019-192738-L2-scripted,-42.20782692307692
words-BABEL-BP-101-88929-20111118-195644-C1-scripted,-32.92191525423729
words-BABEL-BP-101-81308-20111021-141904-S4-scripted,-40.33356779661017
words-BABEL-BP-101-58137-20111121-193654-SC-scripted,-35.99856944444444
words-BABEL-BP-101-69295-20111130-001453-S2-scripted,-42.639447619047615
words-BABEL-BP-101-14769-20111121-152530-T1-scripted,-44.552945205479446
words-BABEL-BP-101-51374-20111020-141720-S7-scripted,-48.43234090909091
words-BABEL-BP-101-68767-20111029-171352-S0-scripted,-36.19863636363637
words-BABEL-BP-101-37461-20111022-201828-L1-scripted,-36.26781884057971
words-BABEL-BP-101-98099-20111120-123908-L1-scripted,-32.99071604938272
words-BABEL-BP-101-61408-20111204-190939-C4-scripted,-38.218637681159414
words-BABEL-BP-101-98086-20111129-155128-SA-scripted,-41.630936507936504
words-BABEL-BP-101-16406-20111102-234332-C4-scripted,-34.303666666666665
words-BABEL-BP-101-28260-20111021-180230-C5-scripted,-44.6161975308642
words-BABEL-BP-101-16313-20111022-215512-O4-scripted,-24.739470588235292
words-BABEL-BP-101-96322-20111031-184344-SC-scripted,-42.49980582524272
words-BABEL-BP-101-69764-20111026-205112-S9-scripted,-42.09597478991597
words-BABEL-BP-101-72718-20111129-162342-I2-scripted,-31.114545454545453
words-BABEL-BP-101-33742-20111118-223002-T1-scripted,-45.544876712328765
words-BABEL-BP-101-25278-20111125-160827-S0-scripted,-37.48961616161616
words-BABEL-BP-101-49624-20111120-195341-S4-scripted,-40.225810810810806
words-BABEL-BP-101-91401-20111027-205601-SC-scripted,-40.42643181818182
words-BABEL-BP-101-11827-20111025-185025-T2-scripted,-36.05729411764706
words-BABEL-BP-101-35016-20111203-201507-S0-scripted,-35.3766168224299
words-BABEL-BP-101-21584-20111030-204055-C4-scripted,-34.25544262295082
words-BABEL-BP-101-24642-20111129-125032-O1-scripted,-33.0260119047619
words-BABEL-BP-101-40980-20111119-143855-D2-scripted,-39.6135119047619
words-BABEL-BP-101-61119-20111125-203543-L1-scripted,-31.007962962962964
words-BABEL-BP-101-75243-20111204-175459-D1-scripted,-32.59767741935484
words-BABEL-BP-101-10160-20111017-193313-SC-scripted,-47.36163043478261
words-BABEL-BP-101-39287-20111119-190333-I2-scripted,-21.607365384615385
words-BABEL-BP-101-21584-20111030-204420-A1-scripted,-29.97891489361702
